_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
1,B18-12904,3.0,FIGHT IP,TELEPHONE,2018-04-01T00:00:00,18:13:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,20,,1,,"","","","",""
2,B18-13036,3.0,WEAPONS IP,911 LINE,2018-04-02T00:00:00,20:28:00,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,YES,YES,,1,25,,,1,"","","","",""
3,B18-13435,MCSO,WELFARE CHK IP,911 LINE,2018-04-05T00:00:00,16:41:00,YES,NO,YES,NO,NO,NO,INTOXICATED,YES,YES,ARRESTEE,NO,NO,1,,20,1,,,"","","","",""
4,B18-13484,5.0,SUSP ACT IP,OFFICER REPORT,2018-04-05T00:00:00,21:56:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,18,1,,,"","","","",""
5,B18-13484,5.0,SUSP ACT IP,OFFICER REPORT,2018-04-05T00:00:00,21:56:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,MENTIONED ,NO,NO,,1,22,,,1,"","","","",""
6,B18-13484,5.0,SUSP ACT IP,OFFICER REPORT,2018-04-05T00:00:00,21:56:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,SUSPECT,NO,NO,1,,19,,,1,"","","","",""
7,B18-13484,5.0,SUSP ACT IP,OFFICER REPORT,2018-04-05T00:00:00,21:56:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,MENTIONED,NO,NO,,1,21,,,1,"","","","",""
8,B18-13504,4.0,SUSP ACT IP,OFFICER REPORT,2018-04-06T00:00:00,00:30:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,23,1,,,"","","","",""
9,B18-13614,3.0,SERVICE IP,TELEPHONE,2018-04-06T00:00:00,21:13:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,38,,,1,"","","","",""
10,B18-13807,5.0,NOISE,TELEPHONE,2018-04-08T00:00:00,00:45:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,32,1,,,"","","","",""
11,B18-13933,4.0,TRAFFIC STOP,OFFICER REPORT,2018-04-09T00:00:00,03:04:00,YES,NO,NO,NO,YES,YES,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,37,,,1,"","","","",""
12,B18-14151,3.0,VANDALISM,TELEPHONE,2018-04-10T00:00:00,1904-12-11 00:00:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,26,1,,,"","","","",""
13,B18-14254,4.0,ASSAULT NP,TELEPHONE,2018-04-11T00:00:00,12:07:00,NO,NO,YES,NO,NO,YES,UNKNOWN,YES,YES,SUSPECT,NO,NO,,1,33,1,,,"","","","",""
14,B18-14618,5.0,WELFARE CHK IP ,TELEPHONE,2018-04-13T00:00:00,16:51:00,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,42,1,,,"","","","",""
15,B18-14652,5.0,DOMESTIC IP,TELEPHONE,2018-04-13T00:00:00,21:03:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,25,1,,,"","","","",""
16,B18-14657 ,3.0,DOMESTIC IP,911 LINE,2018-04-13T00:00:00,21:50:00,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,INVOLVED,NO,NO,,1,25,1,,,"","","","",""
17,B18-14767,4.0,WARRANT SERVICE,TELEPHONE,2018-04-14T00:00:00,17:08:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,23,1,,,"","","","",""
18,B18-14781,4.0,ASSAULT IP,TELEPHONE,2018-04-14T00:00:00,18:41:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,29,1,,,"","","","",""
19,B18-14851,3.0,DRUNK,TELEPHONE,2018-04-15T00:00:00,02:19:00,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,19,,,1,"","","","",""
20,B18-14908,3.0,SERVICE IP,TELEPHONE,2018-04-15T00:00:00,15:06:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,42,1,,,"","","","",""
21,B18-14960,5.0,WARRANT SERVICE,TELEPHONE,2018-04-15T00:00:00,23:45:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,,1,25,1,,,"","","","",""
22,B18-14851,3.0,DRUNK,TELEPHONE,2018-04-15T00:00:00,02:19:00,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,18,,,1,"","","","",""
23,B18-14975,5.0,BURGLARY IP,TELEPHONE,2018-04-16T00:00:00,02:48:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,30,1,,,"","","","",""
24,B18-15208,1.0,SUSP ACT IP,OFFICER REPORT,2018-04-17T00:00:00,17:00:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,1,,46,1,,,"","","","",""
25,B18-15254,3.0,FIGHT IP,911 LINE,2018-04-17T00:00:00,22:53:00,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,19,,,1,"","","","",""
26,B18-15408,5.0,WARRANT SERVICE,OFFICER REPORT,2018-04-18T00:00:00,22:57:00,NO,NO,YES,NO,NO,YES,NORMAL,YES,YES,ARRESTEE,NO,NO,,1,40,,,1,"","","","",""
