2018 Use of Force Data,,,,,,,,,,,,,
Event #,Call Type,Time of Day,Subject Weapon,Subject Age,Subject Gender,Subject Race,Subject Ethnicity,Alcohol Drugs,PD Force Type,# of Officers,Arrest or ProtectiveCustody,"Subject Injured- If yes, type:","Officer Injured- If yes, type:"
1,Intoxicated Subject,6:30 PM,No,31,M,White,Hispanic,Alcohol/Drugs,Forced to Ground,2,Arrest,Complained of injured wrist,No
2,Domestic/Assault,09:00AM,Yes,23,M,White,Hispanic,None,OC Spray Deployment,3,Arrest,No,"Yes, knee pain"
3,Mental Health,06:00PM,No,13,M,White,Non-Hisp.,None,"Non-Compliant Escort Position, Rear Wrist Lock",2,PC,No,No
4,Mental Health,07:00AM,No,67,M,White,Non-Hisp.,None,"Non-Compliant Escort Position, Rear Wrist Lock",3,PC,Yes-laceration to top of hand,No
5,Domestic Dispute,10:35PM,No,47,M,White,Non-Hisp.,Drugs,Forced to Ground,2,Arrest,No,No
6,Suspicious Activity,08:37PM,No,43,F,White,Non-Hisp.,Alcohol,Forced to Ground,2,Arrest,No,"Yes, right side of face"
7,Disturbance,02:00AM,No,29,M,Black,Non-Hisp.,None,Forced to Ground,1,PC,No,No
8,Domestic Dispute,06:50PM,No,27,M,White,Non-Hisp.,Alcohol,"Non-Compliant Escort Position, Rear Wrist Lock",3,Arrest,Yes- laceration to face,No
9,Intoxicated Subject,11:00PM,No,23,M,Black,Non-Hisp.,Alcohol,Forced to Ground,2,PC,No,No
10,Robbery/Assault,05:15PM,Yes,34,M,Black,Non-Hisp.,None,Firearms Displayed,1,Arrest,No,No
11,Traffic Stop/Resisting Arrest,06:40PM,No,34,M,White,Non-Hisp.,None,"Non-Compliant Escort Position, K9 displayed",1,Arrest,No,No
12,Fight in Progress,11:38AM,No,22,M,White,Non-Hisp.,None,Taser Deployment,2,Arrest,No,No
13,Disturbance,12:20PM,No,67,M,White,Non-Hisp.,None,"K9 bite, firearm displayed",8,Arrest,Yes-K9 bite marks,No
14,Domestic Dispute,11:15PM,No,48,M,Black,Non-Hisp.,Alcohol,Firearm Displayed,3,Arrest,No,No
15,Trespassing,06:00PM,No,20,M,White,Hispanic,Alcohol,Forced to Ground/Closed Hand Strike,2,Arrest,"Yes-Shoulder Pain, Mouth Laceration","Yes-Both officers, wrist and knee pain"
16,Suspicious subject,01:15PM,No,19,M,Black,Non-Hisp.,Alcohol,Forced to Ground,3,Arrest,No,Yes-Knee bruising/swelling
17,Animal Complaint,02:40PM,No,42,M,Black,Non-Hisp.,Alcohol,Taser Deployment/Escort Position,4,Arrest,No,Yes-wrist
18,Disturbance,04:01AM,No,18,M,White,Hispanic,Alcohol/Drugs,Taser Deployment/Escort Position,1,Arrest,No,No
19,Subject with warrant,05:35PM,No,23,M,Black,Non-Hisp.,None,Forced to Ground/Closed Hand Strike,4,Arrest,Yes-Abrasions,Yes-Abrasions
20,Armed Person,11:30PM,Yes,24,M,Black,Non-Hisp.,None,Firearms Displayed,2,Arrest,No,No
21,Domestic Dispute,5:45 PM,No,22,M,Black,Non-Hisp.,None,Forced to Ground,2,Arrest,No,Yes- right index finger
22,Intoxicated Subject,07:30PM,No,37,M,White,Hispanic,Alcohol,Open hand strike/Escort Position,1,PC,Yes-Abrasions,No
23,Disturbance,04:26AM,No,28,M,Black,Non-Hisp.,Drugs,Forced to Ground,4,PC,Yes-right wrist,No
24,Domestic Dispute,01:02AM,No,37,F,Black,Non-Hisp.,None,Physical Force used to handcuff,4,Arrest,No,No
25,Domestic Dispute,01:02AM,No,41,M,White,Hispanic,None,Physical Force used to handcuff,4,Arrest,No,No
26,Domestic Dispute/EDP,08:20PM,No,23,M,Black,Non-Hisp.,Alcohol,Firearm Displayed/Forced to ground,3,Arrest,Yes-Face and left elbow,No
27,MV stop/Foot pursuit,09:22PM,No,26,M,White,Non-Hisp.,None,Forced to Ground,4,Arrest,No,No
28,MV stop/DUI,12:31AM,No,49,M,Black,Non-Hisp.,Alcohol,Physical Force used to handcuff,2,Arrest,No,No
29,Suspicious subject,02:59AM,Yes,26,M,White,Hispanic,None,Firearms Displayed,5,Arrest,No,No
30,Suspicious subject,01:55AM,No,23,M,Black,Non-Hisp.,None,Forced to ground/Non-compliant escort ,2,Arrest,No,No
